,Station,Dates,pH,Dissolved Oxygen (mg/L),Water Temperature (°C),Suspended solids (mg/L),Conductivity (μS/cm),5-Day Biochemical Oxygen Demand (mg/L),Ammonia-Nitrogen (mg/L),Total Phosphorus (mg/L),Nitrate-Nitrogen (mg/L),Nitrite-Nitrogen (mg/L)
318,KW3,2016-07-14,7.5,7.8,26.4,7.1,1559,0.8,0.14,0.07,1.8,0.046
319,KW3,2016-08-10,7.8,7.9,25.7,4.9,476,1.6,0.087,0.06,1.1,0.062
320,KW3,2016-09-12,7.7,8.1,25.8,2.6,770,1.7,0.22,0.06,1.5,0.051
321,KW3,2016-10-14,7.5,7.5,24.6,22.0,5898,6.5,0.95,0.3,2.4,0.16
322,KW3,2016-11-14,7.5,8.4,23.8,2.0,2760,3.9,0.97,0.17,2.0,0.18
323,KW3,2016-12-08,7.3,8.7,18.7,3.6,5761,1.5,0.87,0.14,2.0,0.16
324,KY1,2016-01-14,8.0,9.6,15.7,2.2,174,0.4,0.018,0.08,0.83,0.004
325,KY1,2016-02-22,8.5,9.6,15.0,6.7,71,0.1,0.031,0.11,0.83,0.002
326,KY1,2016-03-14,8.6,9.7,15.0,28.0,242,0.8,0.021,0.1,1.2,0.007
327,KY1,2016-04-14,8.6,8.6,20.5,5.9,134,0.7,0.035,0.07,1.1,0.006
328,KY1,2016-05-16,8.4,8.5,21.9,1.6,148,0.3,0.02,0.1,0.66,0.002
329,KY1,2016-06-15,8.5,8.0,24.4,4.6,166,0.3,0.015,0.08,0.8,0.002
330,KY1,2016-07-18,8.5,7.8,26.4,3.0,278,0.1,0.013,0.1,0.64,0.002
331,KY1,2016-08-15,8.4,8.0,24.4,6.9,251,0.2,0.007,0.09,0.88,0.003
332,KY1,2016-09-19,7.7,8.1,24.4,4.6,208,0.5,0.01,0.07,0.54,0.002
333,KY1,2016-10-19,9.0,8.3,23.2,15.0,100,0.5,0.012,0.15,0.88,0.003
334,KY1,2016-11-17,8.0,8.5,22.2,12.0,369,1.1,0.02,0.09,0.6,0.002
335,KY1,2016-12-12,7.5,9.0,19.0,2.6,235,0.4,0.005,0.07,0.57,0.002
336,MW1,2016-01-22,7.4,8.8,17.6,1.0,903,0.4,0.1,0.09,0.73,0.011
337,MW1,2016-02-26,7.6,9.9,15.8,0.6,5351,0.3,0.06,0.11,0.61,0.017
338,MW1,2016-03-24,7.9,9.6,17.2,1.9,129,0.3,0.035,0.03,0.68,0.007
339,MW1,2016-04-25,7.2,8.5,23.3,2.0,1641,0.4,0.063,0.06,0.2,0.014
340,MW1,2016-05-25,7.2,8.0,27.0,2.0,2976,0.2,0.062,0.08,0.42,0.007
341,MW1,2016-06-23,7.4,7.5,28.9,1.4,9454,0.8,0.036,0.12,0.29,0.005
342,MW1,2016-07-22,7.4,8.1,28.9,3.0,3749,0.3,0.056,0.09,0.25,0.004
343,MW1,2016-08-22,8.1,8.3,27.1,1.0,2,0.1,0.038,0.05,0.42,0.003
344,MW1,2016-09-23,7.3,8.3,26.4,1.6,572,0.3,0.012,0.08,0.31,0.003
345,MW1,2016-10-27,7.7,8.4,26.7,0.6,91,0.4,0.018,0.07,0.36,0.006
346,MW1,2016-11-24,7.5,9.3,18.8,0.9,323,0.2,0.026,0.07,0.49,0.004
347,MW1,2016-12-16,7.3,9.4,17.1,2.2,7520,0.2,0.079,0.09,0.39,0.012
348,MW2,2016-01-22,7.2,9.3,16.8,1.5,670,0.7,0.33,0.08,0.38,0.014
349,MW2,2016-02-26,7.3,9.7,15.6,1.9,14923,0.6,0.17,0.06,0.28,0.007
350,MW2,2016-03-24,7.2,9.4,17.4,6.3,435,0.8,0.083,0.13,0.4,0.002
351,MW2,2016-04-25,7.1,8.4,23.8,5.0,1994,0.5,0.057,0.07,0.58,0.01
352,MW2,2016-05-25,7.1,7.7,27.1,1.8,6167,0.3,0.08,0.06,0.28,0.005
353,MW2,2016-06-23,7.5,7.5,28.2,3.1,3179,0.5,0.05,0.08,0.2,0.004
354,MW2,2016-07-22,7.2,7.7,28.8,7.6,5947,0.4,0.096,0.05,0.18,0.004
355,MW2,2016-08-22,7.8,8.2,27.2,2.4,71,0.1,0.042,0.05,0.18,0.003
356,MW2,2016-09-23,7.4,8.6,26.3,2.8,184,0.1,0.02,0.06,0.18,0.007
357,MW2,2016-10-27,7.8,9.0,26.7,1.4,105,0.8,0.056,0.05,0.17,0.021
358,MW2,2016-11-24,7.4,9.7,18.0,1.8,254,0.6,0.088,0.06,0.35,0.005
359,MW2,2016-12-16,7.3,9.4,17.8,5.4,15723,0.9,0.18,0.07,0.17,0.004
360,MW3,2016-01-22,7.6,9.1,17.9,0.9,55,0.2,0.024,0.04,0.5,0.003
361,MW3,2016-02-26,7.8,10.7,16.5,0.7,45,0.1,0.014,0.07,0.45,0.002
362,MW3,2016-03-24,7.8,9.6,17.2,2.0,51,0.2,0.02,0.02,0.66,0.004
363,MW3,2016-04-25,7.7,8.8,23.3,2.2,53,0.3,0.007,0.03,0.53,0.006
364,MW3,2016-05-25,7.6,8.5,25.9,1.0,57,0.2,0.027,0.05,0.39,0.002
365,MW3,2016-06-23,7.4,8.3,28.0,0.6,62,0.5,0.016,0.05,0.36,0.002
366,MW3,2016-07-22,7.3,8.6,28.1,2.4,64,0.2,0.007,0.07,0.25,0.002
367,MW3,2016-08-22,8.4,8.4,26.7,1.4,51,0.1,0.017,0.03,0.4,0.002
368,MW3,2016-09-23,7.4,8.6,25.8,0.5,63,0.1,0.008,0.06,0.28,0.002
369,MW3,2016-10-27,8.0,8.7,26.1,0.5,53,0.4,0.013,0.04,0.32,0.005
370,MW3,2016-11-24,7.5,9.3,19.2,0.8,30,0.3,0.011,0.04,0.45,0.002
371,MW3,2016-12-16,7.3,10.6,18.0,0.7,67,0.1,0.006,0.07,0.31,0.002
372,MW4,2016-01-22,6.7,6.7,18.4,1.9,16978,0.3,0.16,0.17,0.65,0.005
373,MW4,2016-02-26,6.8,8.9,15.7,2.0,23394,1.1,0.23,0.12,0.28,0.013
374,MW4,2016-03-24,6.9,9.1,17.4,13.0,3182,0.6,0.14,0.1,0.57,0.008
375,MW4,2016-04-25,6.9,8.2,24.5,5.0,1931,0.5,0.16,0.08,0.43,0.011
376,MW4,2016-05-25,7.0,7.7,27.9,4.2,5749,0.4,0.082,0.07,0.32,0.01
377,MW4,2016-06-23,7.1,7.0,29.7,2.6,16969,0.9,0.11,0.09,0.26,0.01
378,MW4,2016-07-22,6.8,7.0,29.6,3.6,18239,0.5,0.099,0.07,0.21,0.008
379,MW4,2016-08-22,7.4,8.4,27.9,1.0,4050,0.1,0.041,0.04,0.36,0.003
380,MW4,2016-09-23,7.3,8.6,28.8,5.8,3892,0.4,0.16,0.11,0.32,0.004
381,MW4,2016-10-27,7.0,7.6,28.9,6.1,2782,0.8,0.24,0.13,0.36,0.011
382,MW4,2016-11-24,7.1,8.2,19.2,3.4,4427,0.5,0.32,0.12,0.43,0.009
383,MW4,2016-12-16,7.2,8.2,19.0,9.9,35415,0.7,0.12,0.09,0.09,0.003
384,MW5,2016-01-22,6.9,8.2,17.2,3.4,2301,2.2,0.95,0.17,0.31,0.035
385,MW5,2016-02-26,7.6,9.5,16.0,0.6,7905,1.6,0.97,0.18,0.29,0.029
386,MW5,2016-03-24,7.1,9.2,17.7,10.0,704,1.4,0.29,0.16,0.61,0.015
387,MW5,2016-04-25,7.2,8.1,24.4,7.0,1187,1.4,0.33,0.16,0.39,0.02
388,MW5,2016-05-25,7.2,7.4,27.3,13.0,6266,0.9,0.3,0.12,0.26,0.009
389,MW5,2016-06-23,7.3,7.4,28.2,3.0,6671,1.4,0.25,0.09,0.21,0.01
390,MW5,2016-07-22,7.3,7.5,29.2,5.0,6452,0.8,0.24,0.08,0.17,0.011
391,MW5,2016-08-22,7.6,7.9,27.9,2.9,290,0.5,0.16,0.06,0.26,0.007
392,MW5,2016-09-23,7.2,8.6,27.2,10.0,2100,0.4,0.12,0.09,0.2,0.009
393,MW5,2016-10-27,7.3,7.7,28.2,8.6,1893,1.0,0.27,0.11,0.27,0.025
394,MW5,2016-11-24,7.0,7.6,18.6,3.9,5360,0.9,0.48,0.09,0.42,0.025
395,MW5,2016-12-16,7.4,9.7,17.8,5.6,3415,1.2,0.86,0.09,0.23,0.017
396,PR1,2016-01-20,7.0,7.6,17.1,3.3,10204,6.3,3.7,0.51,0.6,0.039
397,PR1,2016-02-25,7.1,9.8,15.1,0.5,2286,2.3,0.99,0.12,0.34,0.006
398,PR1,2016-03-17,6.9,8.0,16.5,4.4,8675,2.0,1.3,0.32,0.64,0.022
399,PR1,2016-04-21,6.9,7.2,22.7,5.4,12327,4.0,1.6,0.24,0.44,0.014
400,PR1,2016-05-20,6.9,6.8,24.0,3.9,15981,1.9,0.63,0.24,0.54,0.019
401,PR1,2016-06-17,7.0,6.8,27.4,4.4,9014,2.6,1.7,0.44,0.42,0.016
402,PR1,2016-07-20,7.1,6.4,28.7,3.6,21091,1.8,1.3,0.36,0.35,0.009
403,PR1,2016-08-17,7.1,7.1,25.9,3.8,3413,1.6,0.84,0.2,0.53,0.012
404,PR1,2016-09-28,7.2,5.7,29.2,1.6,34798,3.5,1.7,0.36,0.12,0.011
405,PR1,2016-10-20,7.2,8.0,25.5,4.1,1138,1.0,0.3,0.22,0.67,0.008
406,PR1,2016-11-21,7.2,6.1,24.2,4.1,17426,2.9,2.4,0.31,0.36,0.013
407,PR1,2016-12-14,7.3,8.4,21.1,5.8,7497,2.1,1.4,0.16,0.38,0.011
408,PR2,2016-01-20,7.2,9.4,16.9,1.6,87,1.1,0.18,0.04,0.47,0.004
409,PR2,2016-02-25,7.8,10.1,15.3,1.4,70,0.2,0.048,0.02,0.28,0.002
410,PR2,2016-03-17,7.7,9.5,16.4,1.8,79,0.4,0.06,0.04,0.51,0.006
411,PR2,2016-04-21,7.5,8.6,22.2,3.2,45,0.6,0.027,0.03,0.44,0.002
412,PR2,2016-05-20,7.3,8.2,23.0,5.2,84,1.3,0.12,0.06,0.46,0.008
413,PR2,2016-06-17,7.4,8.2,26.4,3.2,71,0.5,0.026,0.06,0.29,0.012
414,PR2,2016-07-20,7.5,8.2,27.7,4.3,86,0.1,0.032,0.03,0.36,0.003
415,PR2,2016-08-17,7.4,8.1,25.4,2.6,64,0.3,0.024,0.03,0.45,0.002
416,PR2,2016-09-28,7.3,8.1,25.6,1.6,90,0.6,0.036,0.04,0.22,0.004
417,PR2,2016-10-20,7.8,8.3,25.3,2.6,62,0.4,0.005,0.03,0.51,0.002
418,PR2,2016-11-21,7.4,8.1,23.2,3.8,83,0.4,0.08,0.03,0.39,0.003
419,PR2,2016-12-14,7.4,9.1,20.6,7.4,91,0.4,0.046,0.02,0.26,0.002
420,PR5,2016-01-20,7.2,9.0,17.2,4.8,118,3.5,0.32,0.12,1.3,0.05
421,PR5,2016-02-25,8.2,9.4,15.7,1.7,250,0.5,0.17,0.08,0.96,0.007
422,PR5,2016-03-17,7.4,9.2,16.7,3.1,130,3.2,0.24,0.12,1.3,0.049
423,PR5,2016-04-21,8.0,8.0,22.0,1.5,131,1.2,0.13,0.08,0.99,0.016
424,PR5,2016-05-20,7.7,7.8,23.2,6.8,136,3.2,0.2,0.11,1.2,0.049
425,PR5,2016-06-17,7.5,7.6,27.5,2.2,107,0.8,0.1,0.11,0.83,0.013
426,PR5,2016-07-20,7.8,7.6,28.1,2.2,154,0.4,0.11,0.07,0.75,0.014
427,PR5,2016-08-17,7.5,7.8,25.8,3.2,96,0.7,0.1,0.07,0.99,0.009
428,PR5,2016-09-28,7.4,7.5,26.7,1.4,174,0.8,0.18,0.08,0.63,0.01
429,PR5,2016-10-20,7.7,7.9,25.9,2.7,89,0.9,0.08,0.06,1.1,0.008
430,PR5,2016-11-21,7.8,7.3,24.1,1.4,114,0.9,0.17,0.1,0.78,0.009
431,PR5,2016-12-14,7.6,8.2,21.5,1.6,211,0.6,0.21,0.06,0.76,0.013
432,PR6,2016-01-20,7.1,9.3,17.3,1.1,127,1.4,0.31,0.11,2.3,0.036
433,PR6,2016-02-25,7.8,10.2,16.0,2.3,131,1.2,0.24,0.16,2.5,0.046
434,PR6,2016-03-17,7.3,9.2,17.3,11.0,145,1.6,0.23,0.2,2.8,0.04
435,PR6,2016-04-21,7.5,8.6,22.6,3.0,119,0.8,0.14,0.1,2.2,0.014
436,PR6,2016-05-20,7.3,8.0,23.1,38.0,144,4.6,0.26,0.23,2.5,0.069
437,PR6,2016-06-17,7.4,8.2,27.2,3.2,91,0.5,0.064,0.09,1.8,0.01
438,PR6,2016-07-20,7.5,8.3,27.8,1.8,122,0.1,0.095,0.08,1.7,0.01
439,PR6,2016-08-17,7.3,8.0,26.0,4.0,65,0.4,0.06,0.08,2.4,0.007
440,PR6,2016-09-28,7.4,8.2,25.6,0.5,139,0.6,0.19,0.09,1.7,0.015
441,PR6,2016-10-20,7.7,8.1,25.7,2.4,108,0.4,0.037,0.05,2.1,0.005
442,PR6,2016-11-21,7.4,8.1,23.4,1.2,92,0.8,0.15,0.11,2.0,0.025
443,PR6,2016-12-14,7.6,9.3,20.5,6.8,132,3.4,0.13,0.17,1.7,0.019
444,PR7,2016-01-20,7.3,9.2,17.2,3.0,226,1.8,0.26,0.08,1.2,0.053
445,PR7,2016-02-25,7.3,9.6,15.8,1.1,8416,1.0,0.16,0.07,0.74,0.031
446,PR7,2016-03-17,7.7,9.6,16.9,3.2,156,1.6,0.19,0.1,1.1,0.055
447,PR7,2016-04-21,7.7,8.4,22.8,3.6,1339,1.6,0.11,0.09,0.83,0.034
448,PR7,2016-05-20,7.4,8.1,23.3,12.0,1157,3.5,0.29,0.1,1.2,0.068
449,PR7,2016-06-17,7.7,8.0,27.5,1.7,130,0.8,0.062,0.08,0.57,0.026
450,PR7,2016-07-20,7.6,8.0,28.4,3.0,3212,0.1,0.046,0.07,0.51,0.017
451,PR7,2016-08-17,7.5,8.0,25.8,4.7,120,0.6,0.043,0.04,0.52,0.009
452,PR7,2016-09-28,7.3,8.3,26.5,1.4,4689,1.0,0.07,0.08,0.62,0.022
453,PR7,2016-10-20,7.8,8.1,25.6,59.0,86,0.8,0.028,0.05,0.67,0.014
454,PR7,2016-11-21,8.7,8.0,23.6,72.0,446,1.5,0.057,0.17,0.95,0.03
455,PR7,2016-12-14,7.5,9.4,21.2,1.5,3590,1.2,0.11,0.08,0.74,0.016
456,PR8,2016-01-20,7.4,8.1,17.6,2.2,163,2.5,0.41,0.13,1.5,0.12
457,PR8,2016-02-25,8.0,9.9,15.9,1.0,147,2.2,0.21,0.1,0.95,0.049
458,PR8,2016-03-17,8.2,9.2,17.0,1.8,262,1.9,0.25,0.1,1.3,0.077
459,PR8,2016-04-21,8.2,8.3,22.4,1.8,371,2.5,0.096,0.1,1.1,0.046
460,PR8,2016-05-20,8.1,8.1,23.2,18.0,310,6.8,0.27,0.16,1.7,0.16
461,PR8,2016-06-17,7.7,8.0,26.8,1.6,177,1.0,0.11,0.08,0.84,0.05
462,PR8,2016-07-20,8.0,7.9,27.8,5.0,391,2.9,0.051,0.07,0.88,0.031
463,PR8,2016-08-17,7.8,7.9,25.8,4.6,153,0.8,0.069,0.07,0.7,0.017
464,PR8,2016-09-28,7.3,7.9,26.1,1.6,522,1.1,0.1,0.1,1.0,0.048
465,PR8,2016-10-20,7.9,8.0,25.7,5.0,118,0.8,0.041,0.05,0.88,0.015
466,PR8,2016-11-21,9.5,7.6,23.8,2.9,435,4.3,0.12,0.13,1.3,0.051
467,PR8,2016-12-14,7.4,8.7,21.0,2.0,340,6.4,0.36,0.17,1.1,0.033
468,RB1,2016-01-06,7.6,9.3,23.4,4.8,173,2.4,0.19,0.43,1.0,0.11
469,RB1,2016-02-17,7.6,10.4,14.4,1.1,135,0.9,0.26,0.25,1.1,0.075
470,RB1,2016-03-09,7.7,9.2,22.2,4.5,171,4.5,0.39,0.32,1.3,0.13
471,RB1,2016-04-01,7.5,9.6,23.0,3.2,150,3.3,0.31,0.33,1.2,0.12
472,RB1,2016-05-04,7.7,8.9,26.0,4.0,162,1.9,0.19,0.42,1.1,0.084
473,RB1,2016-06-01,7.5,8.0,29.6,4.0,118,1.4,0.08,0.18,0.58,0.033
474,RB1,2016-07-04,7.7,8.3,30.1,5.5,130,1.6,5.6,0.63,1.1,0.9
475,RB1,2016-08-01,7.6,8.4,29.7,4.2,140,1.2,0.1,0.27,0.72,0.041
476,RB1,2016-09-01,7.6,8.3,26.9,5.2,114,1.5,0.13,0.15,0.64,0.024
477,RB1,2016-10-03,7.4,8.6,26.5,2.9,87,0.5,0.15,0.27,0.7,0.066
478,RB1,2016-11-02,7.5,9.1,24.1,2.6,103,1.0,0.12,0.12,0.57,0.029
479,RB1,2016-12-01,7.5,9.4,20.5,10.0,121,1.9,0.27,0.21,0.78,0.042
480,RB2,2016-01-06,7.3,7.8,21.4,7.6,204,5.8,1.2,0.41,0.14,0.22
481,RB2,2016-02-17,7.5,9.9,15.0,2.6,160,2.1,0.82,0.23,1.1,0.11
482,RB2,2016-03-09,7.5,7.8,21.4,6.4,206,11.0,1.6,0.47,0.22,0.081
483,RB2,2016-04-01,7.2,7.5,22.3,5.3,121,5.3,0.97,0.31,0.53,0.3
484,RB2,2016-05-04,7.5,7.5,24.8,3.2,175,2.9,0.68,0.29,1.0,0.1
485,RB2,2016-06-01,7.4,7.2,28.4,2.0,85,3.8,0.38,0.18,0.65,0.063
486,RB2,2016-07-04,7.4,7.2,29.1,5.8,174,2.9,0.54,0.33,1.1,0.19
487,RB2,2016-08-01,7.4,6.7,29.3,4.9,184,2.8,0.73,0.31,0.46,0.2
488,RB2,2016-09-01,7.6,7.3,26.5,4.0,129,2.6,0.32,0.12,0.69,0.035
489,RB2,2016-10-03,7.5,7.7,26.6,3.5,166,1.3,0.65,0.26,0.7,0.092
490,RB2,2016-11-02,7.6,8.5,22.1,2.2,124,1.9,0.43,0.2,0.81,0.053
491,RB2,2016-12-01,7.5,8.8,19.4,1.8,155,3.7,0.66,0.15,0.79,0.069
492,RB3,2016-01-06,7.3,8.4,22.5,12.0,253,6.5,2.6,0.45,0.79,0.25
493,RB3,2016-02-17,7.5,9.9,14.8,3.0,198,2.4,1.6,0.29,1.2,0.15
494,RB3,2016-03-09,7.5,4.4,21.7,23.0,280,11.0,3.1,0.75,1.2,0.17
495,RB3,2016-04-01,7.2,8.8,23.3,4.9,243,6.4,0.97,0.3,0.63,0.21
496,RB3,2016-05-04,7.3,5.9,25.2,6.7,209,4.4,1.4,0.37,1.1,0.13
497,RB3,2016-06-01,7.4,7.9,29.3,3.6,203,3.5,0.43,0.46,0.66,0.14
498,RB3,2016-07-04,7.4,5.3,30.2,6.2,325,2.7,0.019,0.17,0.64,0.017
499,RB3,2016-08-01,7.3,3.4,30.0,5.5,305,2.8,1.5,0.4,1.7,0.13
500,RB3,2016-09-01,7.6,5.0,28.3,11.0,242,8.3,2.0,0.32,1.1,0.095
501,RB3,2016-10-03,7.6,4.3,27.6,19.0,256,3.0,1.5,0.37,1.0,0.12
502,RB3,2016-11-02,7.6,9.2,23.7,5.2,168,2.9,0.75,0.13,0.95,0.077
503,RB3,2016-12-01,7.3,9.2,20.7,14.0,206,5.9,0.84,0.19,0.71,0.077
504,TC1,2016-01-22,6.9,8.7,17.3,0.5,50,0.1,0.024,0.02,0.14,0.002
505,TC1,2016-02-26,7.8,9.3,16.5,1.0,118,0.1,0.014,0.02,0.09,0.002
506,TC1,2016-03-24,7.2,9.3,18.3,3.5,69,0.4,0.025,0.04,0.31,0.014
507,TC1,2016-04-25,7.1,8.0,24.2,1.9,35,0.4,0.017,0.02,0.21,0.004
508,TC1,2016-05-25,7.3,7.9,25.2,0.7,269,0.1,0.04,0.02,0.15,0.002
509,TC1,2016-06-23,7.2,7.6,27.9,0.5,58,0.5,0.005,0.02,0.095,0.009
510,TC1,2016-07-22,6.7,7.4,27.8,7.1,33,0.1,0.008,0.02,0.11,0.002
511,TC1,2016-08-22,7.9,8.0,27.4,1.4,44,0.1,0.012,0.02,0.22,0.002
512,TC1,2016-09-23,7.2,8.2,25.9,0.5,51,0.1,0.009,0.02,0.12,0.002
513,TC1,2016-10-27,7.6,8.0,26.1,0.6,46,0.3,0.009,0.02,0.15,0.003
514,TC1,2016-11-24,7.4,8.9,19.9,0.6,51,0.2,0.008,0.02,0.28,0.004
515,TC1,2016-12-16,7.5,9.4,17.7,0.5,100,0.1,0.007,0.02,0.074,0.002
516,TC2,2016-01-22,7.2,9.8,16.8,1.5,99,0.4,0.038,0.02,0.13,0.002
517,TC2,2016-02-26,7.5,10.0,17.5,8.0,81,0.7,0.015,0.03,0.074,0.005
518,TC2,2016-03-24,7.1,9.4,18.4,3.6,78,0.6,0.036,0.04,0.23,0.009
519,TC2,2016-04-25,7.1,8.1,27.3,2.6,87,0.6,0.01,0.02,0.057,0.006
520,TC2,2016-05-25,7.1,8.0,27.4,0.8,261,0.3,0.022,0.02,0.017,0.002
521,TC2,2016-06-23,7.2,7.3,32.3,5.1,80,0.7,0.017,0.04,0.033,0.002
522,TC2,2016-07-22,7.3,7.7,31.4,2.3,45,0.5,0.007,0.02,0.03,0.002
523,TC2,2016-08-22,7.6,7.9,29.6,2.1,71,0.5,0.016,0.02,0.22,0.002
524,TC2,2016-09-23,7.1,8.2,27.9,1.2,46,0.4,0.011,0.03,0.03,0.005
525,TC2,2016-10-27,7.6,8.5,28.0,1.1,73,0.6,0.014,0.02,0.002,0.003
526,TC2,2016-11-24,7.6,9.3,21.3,1.3,73,0.5,0.011,0.02,0.12,0.002
527,TC2,2016-12-16,7.5,9.5,20.4,5.2,82,1.0,0.011,0.02,0.052,0.002
528,TC3,2016-01-22,7.8,9.2,17.4,7.0,99,4.0,0.94,0.14,0.21,0.013
529,TC3,2016-02-26,8.3,9.9,16.7,1.3,111,3.8,0.62,0.09,0.24,0.006
530,TC3,2016-03-24,7.8,9.4,18.7,1.5,65,1.3,0.16,0.03,0.37,0.006
531,TC3,2016-04-25,7.9,8.4,24.3,5.1,62,2.5,0.23,0.04,0.16,0.01
532,TC3,2016-05-25,8.1,8.1,26.8,1.3,117,1.7,0.15,0.02,0.14,0.004
533,TC3,2016-06-23,8.0,7.9,29.0,2.2,101,7.8,0.15,0.06,0.084,0.008
534,TC3,2016-07-22,7.4,7.8,28.8,1.6,59,3.7,0.3,0.06,0.095,0.008
535,TC3,2016-08-22,7.9,8.1,27.9,1.3,45,1.5,0.046,0.03,0.18,0.002
536,TC3,2016-09-23,7.2,8.4,26.5,3.0,70,3.3,0.17,0.04,0.1,0.004
537,TC3,2016-10-27,8.2,8.4,26.3,1.9,57,3.7,0.17,0.05,0.12,0.009
538,TC3,2016-11-24,8.1,9.2,20.4,1.4,124,2.2,0.22,0.05,0.34,0.008
539,TC3,2016-12-16,7.5,9.6,18.5,5.0,121,6.1,0.72,0.08,0.11,0.015
540,TN1,2016-01-15,8.1,8.3,17.5,22.0,345,23.0,4.4,0.45,0.94,0.16
541,TN1,2016-02-24,8.0,9.3,16.6,4.5,205,18.0,6.1,0.7,1.0,0.15
542,TN1,2016-03-16,7.9,4.5,18.2,7.9,633,23.0,7.5,0.91,0.3,0.38
543,TN1,2016-04-18,7.6,6.2,22.8,5.2,1792,22.0,4.6,0.61,1.3,0.17
544,TN1,2016-05-19,9.3,10.3,26.4,5.6,168,4.3,0.48,0.35,1.4,0.17
545,TN1,2016-06-16,7.7,5.9,28.3,7.0,731,19.0,4.3,1.0,0.69,0.23
546,TN1,2016-07-15,8.1,6.6,29.1,2.1,394,3.6,0.6,0.28,1.2,0.14
547,TN1,2016-08-11,7.9,4.9,27.8,11.0,595,13.0,5.3,0.56,0.62,0.15
548,TN1,2016-09-14,7.7,5.6,29.0,5.0,847,15.0,5.7,0.69,0.66,0.18
549,TN1,2016-10-17,8.3,3.9,27.8,9.2,928,11.0,5.8,0.89,1.2,0.15
550,TN1,2016-11-11,7.4,4.7,21.8,6.5,1425,13.0,5.9,0.64,0.77,0.13
551,TN1,2016-12-09,7.6,6.4,21.7,13.0,1853,18.0,7.5,0.77,0.41,0.099
552,TN2,2016-01-15,7.8,9.2,17.1,160.0,156,8.9,1.4,0.23,1.3,0.081
553,TN2,2016-02-24,7.8,11.3,15.5,1.0,925,8.6,4.1,0.6,2.0,0.083
554,TN2,2016-03-16,7.6,8.0,17.8,3.9,207,8.9,3.0,0.41,2.3,0.13
555,TN2,2016-04-18,7.7,8.0,23.5,8.4,149,2.4,0.69,0.13,2.0,0.041
556,TN2,2016-05-19,8.2,8.7,26.8,12.0,245,3.4,0.69,0.13,2.4,0.04
557,TN2,2016-06-16,7.4,7.8,28.7,1.0,168,1.9,0.81,0.23,1.1,0.032
558,TN2,2016-07-15,7.8,8.1,30.0,2.0,214,3.8,1.2,0.24,1.3,0.054
559,TN2,2016-08-11,7.6,7.5,27.0,17.0,91,2.3,0.94,0.18,1.5,0.082
560,TN2,2016-09-14,7.7,8.0,27.6,5.3,150,2.9,0.43,0.1,1.0,0.021
561,TN2,2016-10-17,8.2,9.1,27.4,3.7,292,3.5,1.0,0.21,4.8,0.61
562,TN2,2016-11-11,7.5,8.9,20.5,4.6,231,2.7,1.7,0.22,2.6,0.44
563,TN2,2016-12-09,7.7,9.6,19.9,3.3,154,3.5,1.2,0.21,1.1,0.034
564,TN3,2016-01-15,7.5,8.0,17.7,2.6,1281,8.9,0.57,0.08,0.77,0.053
565,TN3,2016-02-24,8.2,5.0,16.8,1.1,661,1.1,0.31,0.07,0.28,0.024
566,TN3,2016-03-16,7.5,5.5,16.7,1.0,28033,2.9,0.45,0.13,0.42,0.029
567,TN3,2016-04-18,7.4,4.4,23.4,3.2,11920,3.2,0.73,0.12,0.79,0.084
568,TN3,2016-05-19,7.7,6.2,25.9,2.2,33037,1.7,0.38,0.25,0.33,0.038
569,TN3,2016-06-16,7.5,5.0,29.5,4.4,8080,1.3,0.46,0.14,0.75,0.1
570,TN3,2016-07-15,7.5,4.9,30.2,1.4,18410,1.9,0.62,0.12,0.67,0.068
571,TN3,2016-08-11,7.5,5.3,28.0,12.0,12095,3.2,0.95,0.14,0.7,0.077
572,TN3,2016-09-14,7.5,5.0,29.2,5.2,27466,2.0,0.58,0.1,0.53,0.09
573,TN3,2016-10-17,7.8,5.7,27.7,3.8,50466,1.0,0.25,0.09,0.085,0.021
574,TN3,2016-11-11,7.3,5.1,23.0,8.8,37904,0.6,0.36,0.07,0.32,0.038
575,TN3,2016-12-09,7.6,5.5,21.4,4.3,34596,5.7,0.35,0.1,0.42,0.045
576,TN4,2016-01-15,7.6,8.4,17.5,5.2,5108,5.7,1.0,0.11,0.79,0.061
577,TN4,2016-02-24,7.8,6.7,15.5,0.8,33386,1.6,0.38,0.08,0.33,0.024
578,TN4,2016-03-16,7.5,5.7,16.9,1.2,24428,3.1,0.59,0.1,0.48,0.039
579,TN4,2016-04-18,7.5,6.9,23.2,7.2,8779,3.6,0.89,0.12,0.96,0.082
580,TN4,2016-05-19,7.6,5.8,26.2,1.0,26004,1.3,0.37,0.08,0.42,0.038
581,TN4,2016-06-16,7.5,6.0,29.8,5.0,8613,0.9,0.35,0.12,0.96,0.093
582,TN4,2016-07-15,7.5,5.2,30.0,3.8,15191,1.2,0.78,0.14,0.72,0.074
583,TN4,2016-08-11,7.6,6.2,27.9,6.9,11707,2.5,0.58,0.08,0.86,0.064
584,TN4,2016-09-14,7.4,5.6,29.0,5.6,22801,1.1,0.53,0.12,0.6,0.071
585,TN4,2016-10-17,7.5,5.5,27.9,2.9,50096,1.0,0.32,0.08,0.086,0.02
586,TN4,2016-11-11,7.2,6.1,22.6,7.8,36968,0.6,0.41,0.07,0.36,0.044
